longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-121.96,38.02,35,2691,542,1409,505,3.016,95300,INLAND
-120.59,38.45,13,2944,558,1091,466,3.0,119000,INLAND
-122.1,37.67,34,3659,897,2479,903,2.9564,150500,NEAR BAY
-122.07,37.66,28,2280,610,1255,587,2.6719,161200,NEAR BAY
-120.81,38.74,29,2259,482,1099,463,2.3314,121600,INLAND
-120.81,38.89,17,1438,324,675,268,2.9444,119300,INLAND
-120.98,38.66,9,2073,404,916,373,3.225,163300,INLAND
-122.02,37.87,14,3056,369,1209,377,8.4352,441400,NEAR BAY
-119.56,36.7,40,1195,326,1135,315,2.1182,58900,INLAND
-119.46,36.61,13,1348,258,719,246,3.625,108300,INLAND
-122.26,37.84,50,2239,455,990,419,1.9911,158700,NEAR BAY
-119.83,36.82,14,1087,165,365,176,7.2909,155600,INLAND
-120.87,38.37,28,3998,765,1614,698,2.8125,113400,INLAND
-121.65,39.32,40,812,154,374,142,2.7891,73500,INLAND
-119.85,36.83,15,2563,335,1080,356,6.7181,160300,INLAND
-122.08,37.63,35,517,108,391,107,4.0682,156900,NEAR BAY
-122.22,37.82,39,2492,310,808,315,11.8603,500001,NEAR BAY
-122.04,37.67,29,1694,251,690,242,6.0501,254200,NEAR BAY
-122.28,37.91,38,2501,348,805,329,6.5576,358500,NEAR BAY
-122.13,37.67,42,3592,703,1625,665,3.2434,179900,NEAR BAY
-122.25,37.8,29,2468,864,1335,773,1.3929,193800,NEAR BAY
-119.85,36.8,14,4177,914,2300,867,2.9565,73000,INLAND
-122.3,37.89,36,1077,293,518,276,3.0208,206300,NEAR BAY
-122.07,37.58,16,1606,240,1117,268,6.0661,247000,NEAR BAY
-121.86,39.75,18,1651,309,856,293,3.5046,118300,INLAND
-119.74,36.78,27,4049,947,2254,882,2.2467,70700,INLAND
-122.04,37.94,24,5732,873,2444,888,5.6292,231400,NEAR BAY
-122.17,37.77,30,3326,746,1704,703,2.875,135300,NEAR BAY
-119.46,36.91,12,2980,495,1184,429,3.9141,123900,INLAND
-122.27,37.85,47,1375,307,843,319,1.3785,142300,NEAR BAY
-121.72,37.7,17,1671,352,729,252,6.1023,450000,INLAND
-119.8,36.65,34,2263,423,1184,407,1.7692,74200,INLAND
-122.14,37.84,24,2131,343,874,373,5.6349,355600,NEAR BAY
-122.16,39.78,32,1288,221,562,203,2.325,69600,INLAND
-122.25,37.86,52,4048,663,1316,590,5.3794,376900,NEAR BAY
-120.57,38.35,17,1504,358,661,250,2.2604,84800,INLAND
-122.23,37.76,52,3037,516,1242,518,5.2128,289900,NEAR BAY
-122.24,37.8,52,1591,373,1118,347,2.1563,128600,NEAR BAY
-122.29,37.97,20,3426,632,1512,580,4.4911,227400,NEAR BAY
-121.87,39.75,22,1707,296,822,297,3.6625,126600,INLAND
-122.27,37.85,52,1228,293,648,303,2.1202,155500,NEAR BAY
-119.72,36.81,15,2175,564,1194,482,2.6767,87500,INLAND
-121.81,39.71,18,1222,250,708,281,2.0288,116700,INLAND
-122.06,37.63,23,1939,356,841,364,3.3611,169200,NEAR BAY
-120.1,36.16,17,598,160,715,146,2.3295,55000,INLAND
-122.17,37.72,42,3008,659,1817,664,3.371,165000,NEAR BAY
-120.0,38.93,17,8005,1382,999,383,3.9722,313400,INLAND
-119.69,36.73,30,2437,349,1005,380,7.2211,171700,INLAND
-122.16,37.7,36,1719,303,836,311,4.4375,193500,NEAR BAY
-122.07,37.94,36,2639,488,1111,476,3.5057,205100,NEAR BAY
-122.11,37.89,32,2372,516,1067,492,4.3235,279500,NEAR BAY
-121.99,37.77,14,8213,1364,3283,1286,5.1755,294800,<1H OCEAN
-119.78,36.75,43,2070,512,1925,444,1.4635,46600,INLAND
-119.73,36.77,24,4410,939,2362,862,2.9406,73000,INLAND
-122.02,37.94,19,3192,612,1317,594,4.125,267100,NEAR BAY
-119.86,36.45,19,2439,462,1416,469,2.4474,75600,INLAND
-122.28,37.86,52,3007,691,1582,636,2.5652,157700,NEAR BAY
-120.19,36.6,25,875,214,931,214,1.5536,58300,INLAND
-122.1,37.63,29,2172,435,1377,408,3.7895,180900,NEAR BAY
-120.27,38.31,13,3297,662,267,97,3.075,108300,INLAND
-119.92,38.91,15,3831,625,984,328,5.0718,162500,INLAND
-122.12,37.71,35,1037,207,552,210,4.0,167900,NEAR BAY
-120.58,38.77,15,2155,394,857,356,4.03,141200,INLAND
-121.76,37.69,29,3433,711,1919,709,3.3841,184400,INLAND
-119.82,36.81,25,3305,551,1149,500,5.0698,150900,INLAND
-122.18,37.73,42,909,215,646,198,2.9063,80000,NEAR BAY
-122.08,37.58,15,2576,418,1657,410,5.5218,254400,NEAR BAY
-122.26,38.0,5,6265,908,3326,872,6.2073,272900,NEAR BAY
-121.93,37.89,13,2085,292,852,264,7.3445,366700,INLAND
-121.94,37.93,16,3421,427,1341,428,7.5695,320400,INLAND
-119.76,36.75,41,1576,417,1567,366,1.2545,45500,INLAND
-119.77,36.83,16,2360,355,1034,359,5.0635,108500,INLAND
-119.56,36.71,37,1609,374,1173,344,2.181,59900,INLAND
-119.75,36.83,15,2793,436,1411,441,4.9292,109400,INLAND
-121.57,39.48,15,202,54,145,40,0.8252,42500,INLAND
-122.09,37.68,41,1382,353,704,314,3.5114,197500,NEAR BAY
-122.36,37.96,30,950,317,1073,280,1.8664,107800,NEAR BAY
-119.87,36.78,4,6102,1114,3406,1115,3.4213,84500,INLAND
-122.08,37.67,29,493,168,233,152,0.9637,160000,NEAR BAY
-122.22,37.86,21,7099,1106,2401,1138,8.3014,358500,NEAR BAY
-122.08,37.68,26,1167,370,253,137,2.4196,275000,NEAR BAY
-122.08,37.68,15,3051,685,1479,668,3.5295,242200,NEAR BAY
-122.25,37.85,52,919,213,413,193,4.0368,269700,NEAR BAY
-122.21,38.02,15,2150,327,1094,324,6.0224,198500,NEAR BAY
-122.3,37.97,34,2854,528,1211,452,3.5353,164700,NEAR BAY
-122.15,37.7,36,1468,252,733,229,3.4583,192600,NEAR BAY
-122.18,37.7,36,2639,533,1209,519,4.0268,205500,NEAR BAY
-121.98,37.97,26,2738,428,1316,430,5.2442,213200,INLAND
-121.88,38.0,22,721,117,367,129,5.3098,151900,INLAND
-120.02,38.76,15,3142,618,725,285,4.3333,121400,INLAND
-122.19,37.78,52,1070,193,555,190,3.7262,166900,NEAR BAY
-122.06,37.64,33,1160,252,729,220,3.8259,146100,NEAR BAY
-119.81,36.78,37,1965,364,796,335,3.625,83400,INLAND
-122.1,37.68,31,1892,428,1162,389,3.125,167100,NEAR BAY
-122.04,37.95,29,866,138,341,133,4.7188,197100,NEAR BAY
-122.01,39.21,52,1989,392,985,396,2.5556,75800,INLAND
-122.27,37.84,52,2224,437,1006,422,2.6,132600,NEAR BAY
-120.01,38.91,17,2732,609,1005,499,1.9851,86700,INLAND
-121.96,37.53,18,2375,652,1252,586,2.6198,235900,<1H OCEAN
-122.24,37.76,52,2504,516,979,472,3.4762,244000,NEAR BAY
-122.28,37.78,50,1487,306,730,327,2.5139,219000,NEAR BAY
-119.81,36.72,46,1414,268,902,243,1.5833,56700,INLAND
-122.1,38.02,28,4308,824,2086,776,3.6523,159700,NEAR BAY
-122.18,37.76,50,1187,261,907,246,1.9479,89500,NEAR BAY
-121.69,37.95,15,1850,441,1348,403,3.8125,125400,INLAND
-122.23,37.82,52,1611,203,556,179,8.7477,500001,NEAR BAY
-122.22,37.8,52,2721,541,1185,515,4.5428,239800,NEAR BAY
-121.74,39.38,27,2596,435,1100,409,2.3243,85500,INLAND
-121.8,37.99,16,3077,465,1575,446,5.5,179500,INLAND
-122.27,37.84,48,1922,409,1026,335,1.7969,110400,NEAR BAY
-122.14,37.73,43,2264,390,931,368,3.8125,235100,NEAR BAY
-124.17,41.8,16,2739,480,1259,436,3.7557,109400,NEAR OCEAN
-121.79,39.73,8,5690,1189,2887,1077,3.0625,116300,INLAND
-119.73,36.72,26,2645,1005,1660,991,0.6991,89500,INLAND
-121.84,39.73,52,502,100,311,100,1.5481,200000,INLAND
-119.71,36.88,17,2236,315,992,312,6.9405,165200,INLAND
-122.21,37.8,50,2833,605,1260,552,2.8929,216700,NEAR BAY
-122.08,37.62,17,2485,518,1139,550,2.6875,157300,NEAR BAY
-122.26,37.78,52,970,217,528,208,3.3438,201300,NEAR BAY
-122.05,37.93,5,4274,1153,1503,881,4.0473,266500,NEAR BAY
-121.79,37.67,26,2163,339,947,346,6.0797,211000,INLAND
-119.94,38.96,20,1451,386,467,255,1.5536,212500,INLAND
-122.04,37.99,32,1504,279,749,267,3.2,134500,NEAR BAY
-119.84,36.81,18,2789,378,937,364,7.7062,188300,INLAND
-122.21,37.8,48,1321,263,506,252,4.0977,229700,NEAR BAY
-122.29,37.89,52,2248,422,870,377,3.4732,246200,NEAR BAY
-121.02,38.66,4,7392,1155,3096,1065,4.5246,198900,INLAND
-121.58,39.79,19,2636,523,1184,465,2.7863,108600,INLAND
-122.12,37.82,26,2269,317,918,313,6.6657,364500,NEAR BAY
-122.08,37.58,16,3349,544,2003,488,6.0074,236500,NEAR BAY
-122.04,39.22,27,1446,295,670,281,3.2625,92800,INLAND
-122.26,37.77,52,1565,315,637,297,4.7778,351800,NEAR BAY
-121.52,39.43,15,2119,389,1079,374,2.3566,80400,INLAND
-121.82,38.01,25,3018,606,1614,568,3.4722,127000,INLAND
-122.27,37.85,40,751,184,409,166,1.3578,147500,NEAR BAY
-122.09,37.97,5,5303,779,2017,727,6.9961,294100,NEAR BAY
-121.78,37.69,35,2853,588,1761,572,4.3533,168400,INLAND
-119.98,36.74,26,1453,251,896,260,3.4861,112500,INLAND
-122.21,37.77,46,1234,375,1183,354,2.3309,98700,NEAR BAY
-122.12,37.85,18,5252,686,1870,657,8.0074,454100,NEAR BAY
-119.96,38.93,22,2731,632,1215,483,2.83,110500,INLAND
-122.22,37.85,28,5287,1048,2031,956,5.457,337300,NEAR BAY
-122.01,37.97,34,3259,498,1250,478,5.3794,206200,NEAR BAY
-119.76,36.75,35,2347,526,1676,481,1.6548,49400,INLAND
-122.35,37.94,34,1880,459,1358,422,1.6571,105200,NEAR BAY
-122.27,37.82,21,896,453,735,438,0.9218,171900,NEAR BAY
-121.83,39.73,52,1741,401,753,377,2.0064,77900,INLAND
-122.03,37.62,35,2072,352,1001,350,4.7109,198700,NEAR BAY
-122.28,37.88,52,957,188,403,172,3.2344,245500,NEAR BAY
-122.29,37.82,49,135,29,86,23,6.1183,75000,NEAR BAY
-119.81,36.74,36,607,155,483,146,1.5625,47500,INLAND
-122.29,37.87,52,895,198,386,204,3.875,182600,NEAR BAY
-122.18,37.77,52,2744,547,1479,554,2.2768,96200,NEAR BAY
-122.03,37.59,16,4371,889,2530,817,4.6786,256000,NEAR BAY
-120.66,38.4,18,2144,420,985,381,3.175,118500,INLAND
-122.08,37.84,17,1320,159,1722,141,11.7064,500001,NEAR BAY
-122.27,37.85,52,1974,426,875,363,1.5817,153600,NEAR BAY
-121.99,37.96,16,3324,479,1470,461,7.6166,260400,INLAND
-122.19,37.8,52,1813,271,637,277,4.0114,263400,NEAR BAY
-122.3,37.98,25,3807,806,1821,792,3.6518,164300,NEAR BAY
-122.05,38.0,16,1085,217,356,232,2.3462,75000,NEAR BAY
-121.58,39.76,19,2487,485,1110,453,3.1061,110200,INLAND
-119.71,36.76,28,2675,527,1392,521,2.3108,72000,INLAND
-121.98,37.97,26,2714,390,1232,409,5.9617,231100,INLAND
-122.06,37.6,17,5159,832,3174,817,5.8704,234400,NEAR BAY
-119.12,36.69,13,3963,812,1905,671,2.2278,90500,INLAND
-122.13,39.74,20,1401,280,668,250,2.2569,94300,INLAND
-122.19,37.77,41,2036,510,1412,454,2.0469,89300,NEAR BAY
-122.04,37.5,17,407,97,307,100,3.1696,156300,NEAR BAY
-119.74,36.73,42,1236,272,946,261,2.0536,50000,INLAND
-122.19,37.84,18,1617,210,533,194,11.6017,392600,NEAR BAY
-122.14,37.77,27,2229,365,1297,355,4.8304,279100,NEAR BAY
-121.63,39.82,11,3974,727,1610,634,2.6147,107700,INLAND
-119.74,36.71,17,5872,1250,5034,1224,2.1905,61800,INLAND
-122.02,37.99,37,2247,416,1237,397,4.45,161900,NEAR BAY
-122.03,37.54,16,4458,856,3038,870,5.0739,208000,NEAR BAY
-122.25,37.89,37,3000,457,987,450,7.5385,350000,NEAR BAY
-121.7,37.98,9,3079,519,1562,512,5.1041,172900,INLAND
-122.07,37.64,25,4524,860,2426,862,4.7083,190900,NEAR BAY
-122.2,37.89,37,3881,560,1315,517,7.3195,367500,NEAR BAY
-122.26,37.89,52,3706,531,1205,504,6.6828,370900,NEAR BAY
-121.93,37.53,27,5532,973,2855,960,4.7478,243500,<1H OCEAN
-120.16,39.01,16,1463,264,54,26,4.975,206300,INLAND
-122.18,37.71,45,726,147,519,135,3.375,157500,NEAR BAY
-120.67,36.72,18,819,198,996,198,2.5,112500,INLAND
-122.09,37.68,29,2333,538,1120,540,2.4042,205600,NEAR BAY
-121.99,37.54,26,2332,371,1285,404,5.388,225000,<1H OCEAN
-122.05,37.96,35,2190,384,1154,401,3.8456,159800,NEAR BAY
-121.97,37.57,21,4342,783,2172,789,4.6146,247600,<1H OCEAN
-119.77,36.79,34,2679,460,1141,470,3.2642,89600,INLAND
-122.04,37.85,27,6039,780,2181,761,9.5862,469400,NEAR BAY
-122.1,37.68,37,1352,342,691,324,3.4032,196900,NEAR BAY
-121.61,39.52,24,1610,324,909,323,1.8661,59800,INLAND
-119.89,36.64,34,1422,237,716,222,2.975,90000,INLAND
-119.83,36.77,32,2867,615,1705,570,2.4286,68100,INLAND
-122.13,37.67,40,1748,318,914,317,3.8676,184000,NEAR BAY
-122.27,37.8,52,249,78,396,85,1.2434,500001,NEAR BAY
-122.23,38.06,52,1350,266,490,257,3.125,171100,NEAR BAY
-119.8,36.68,31,2214,432,1326,416,2.1691,66700,INLAND
-119.81,36.78,36,1650,313,660,298,3.0,79700,INLAND
-119.32,36.62,15,1070,256,1070,243,1.5642,51500,INLAND
-122.19,37.83,29,1791,271,661,269,6.8538,368900,NEAR BAY
-119.98,38.93,25,1262,293,534,226,2.6607,90400,INLAND
-122.13,37.7,43,3046,557,1333,544,3.4583,183700,NEAR BAY
-122.23,37.84,47,3175,454,1098,485,5.2868,347600,NEAR BAY
-119.83,36.77,23,2168,503,1190,425,2.625,71600,INLAND
-119.72,36.82,15,946,239,550,246,2.2639,52500,INLAND
-119.71,36.8,25,875,156,646,166,3.0,72800,INLAND
-122.25,37.8,52,2087,510,1197,488,3.0149,218400,NEAR BAY
-121.86,39.74,13,3494,843,1571,784,1.1019,120200,INLAND
-122.02,37.6,32,1295,295,1097,328,3.2386,149600,NEAR BAY
-122.2,37.84,35,2865,460,1072,443,7.4882,319300,NEAR BAY
-122.19,37.76,26,1293,297,984,303,1.9479,85800,NEAR BAY
-119.55,36.7,31,1671,372,1371,347,2.3687,63900,INLAND
-119.72,36.73,9,1914,491,1116,424,1.4646,65900,INLAND
-122.04,37.66,23,2419,348,1066,384,6.3501,350000,NEAR BAY
-119.69,36.79,5,2613,476,1490,481,4.0993,83000,INLAND
-119.82,36.82,28,2268,336,752,330,5.2809,151500,INLAND
-121.79,37.99,10,4156,609,1878,586,5.6506,178600,INLAND
-121.83,37.99,16,2919,462,1456,453,5.6779,164700,INLAND
-122.21,38.06,52,2735,559,1076,487,3.6154,155700,NEAR BAY
-122.01,37.97,32,3012,527,1288,512,3.6449,211500,NEAR BAY
-122.34,37.93,30,2515,481,1327,428,2.1287,95000,NEAR BAY
-121.95,37.94,27,1469,216,578,219,5.9346,253600,INLAND
-120.84,38.73,17,2616,492,1158,457,2.8807,142600,INLAND
-122.11,37.7,23,1689,461,828,443,2.1552,161400,NEAR BAY
-122.14,37.75,33,1334,200,579,202,6.8323,255900,NEAR BAY
-122.33,37.95,42,1627,336,848,316,3.7708,144600,NEAR BAY
-122.16,37.77,48,977,194,446,180,4.7708,156300,NEAR BAY
-122.2,37.78,52,2300,443,1225,423,3.5398,158400,NEAR BAY
-121.71,37.99,27,3861,718,2085,707,3.3558,129700,INLAND
-122.18,37.78,33,142,31,575,47,3.875,225000,NEAR BAY
-122.35,37.96,35,1326,346,1023,295,2.0724,97700,NEAR BAY
-119.57,36.7,34,1759,354,899,337,2.6823,72900,INLAND
-124.14,41.95,21,2696,578,1208,494,2.275,122400,NEAR OCEAN
-122.21,37.8,39,2003,500,1109,464,3.0682,156500,NEAR BAY
-122.13,37.71,44,1421,298,609,270,3.5781,180000,NEAR BAY
-121.84,39.68,38,549,105,275,94,3.5375,153100,INLAND
-121.73,37.71,12,5608,1049,2595,1067,3.9864,200200,INLAND
-122.19,37.78,52,2198,397,984,369,3.22,156500,NEAR BAY
-122.02,37.6,36,1633,345,1382,338,3.694,159600,NEAR BAY
-119.63,36.79,19,1317,189,517,187,4.526,148700,INLAND
-122.26,37.85,52,2491,474,1098,468,3.075,213500,NEAR BAY
-120.5,38.87,10,81,41,55,16,4.9583,87500,INLAND
-122.02,37.63,6,2445,590,1189,573,3.8958,301100,NEAR BAY
-122.19,37.82,32,1835,264,635,263,8.317,365900,NEAR BAY
-119.78,36.75,49,1175,307,982,278,1.2937,52000,INLAND
-122.26,37.77,52,1848,479,921,477,2.875,234000,NEAR BAY
-122.2,37.81,45,2964,436,1067,426,6.7851,323500,NEAR BAY
-122.25,37.81,46,3232,835,1373,747,3.225,218800,NEAR BAY
-120.02,36.8,25,1270,255,1050,245,2.1618,55300,INLAND
-122.09,37.71,35,2663,387,1086,367,5.1498,266400,NEAR BAY
-122.13,38.01,48,2123,494,859,474,1.8523,144800,NEAR BAY
-122.08,37.71,38,1663,295,781,301,5.0519,227000,NEAR BAY
-122.1,37.88,35,3701,528,1511,517,7.2315,367100,NEAR BAY
-121.6,39.75,19,2888,591,984,499,1.9766,92600,INLAND
-122.25,37.81,39,854,242,389,228,3.125,237500,NEAR BAY
-121.6,39.76,22,2447,556,1157,556,1.8245,85500,INLAND
-121.99,37.55,28,2414,415,1106,453,4.8403,268600,<1H OCEAN
-121.79,37.69,25,6296,1082,3200,1047,4.5357,188400,INLAND
-119.71,36.81,19,1648,368,557,354,1.7969,72800,INLAND
-122.15,37.74,49,1325,277,764,282,3.3125,118000,NEAR BAY
-121.82,39.72,42,2978,694,1879,679,1.5064,66300,INLAND
-120.05,36.72,24,1961,422,1559,374,1.8299,57800,INLAND
-122.27,37.89,52,2640,366,973,355,7.266,371100,NEAR BAY
-119.84,36.54,19,1310,241,702,217,2.4375,78200,INLAND
-121.85,39.73,17,3425,827,2469,758,0.9393,88900,INLAND
-122.22,37.79,49,1826,450,1201,424,2.5,136700,NEAR BAY
-122.05,38.0,36,2476,472,1213,393,3.7333,136400,NEAR BAY
-122.24,37.84,52,3529,574,1177,555,5.1773,389500,NEAR BAY
-121.8,38.01,46,2273,495,1088,447,2.2532,109400,INLAND
-122.23,37.81,52,2814,365,878,352,7.508,348700,NEAR BAY
-121.98,37.95,16,2984,406,1317,397,6.7821,265900,INLAND
-122.17,37.7,24,1755,365,952,362,4.0,202600,NEAR BAY
-119.84,36.84,12,2396,290,863,258,8.7716,229200,INLAND
-122.0,37.99,28,4035,641,1881,659,5.4607,192300,INLAND
-121.51,39.97,22,1468,285,611,235,2.3036,73000,INLAND
-121.7,39.36,46,1210,243,523,242,1.91,63900,INLAND
-122.32,37.96,25,1728,403,934,412,3.375,133700,NEAR BAY
-122.23,37.79,30,610,145,425,140,1.6198,122700,NEAR BAY
